source_file	source_root	file_kind	source_unit	selection	selected_roots	direct_importers	active_imports	commented_imports	substantive	prose_words	headings	construct_counts	labels	named_items	unit_start_line	unit_end_line	file_lines	file_words	coverage_status	coverage_basis	formalolp_evidence	formal_declarations	audit_note
computability/computability-theory/application-fixed-point.tex	computability	section	section	selected	computability	-	0	0	yes	434	Applying the Fixed-Point Theorem	thm	-	section	1	71	71	434	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/application-fixed-point.tex	computability	unit	thm#1	selected	computability	-	0	0	yes	434	Applying the Fixed-Point Theorem	-	1	thm#1	28	32	71	434	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/ce-closed-cup-cap.tex	computability	section	section	selected	computability	-	0	0	yes	573	ce-closed-cup-cap	thm	-	section	1	94	94	573	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/ce-closed-cup-cap.tex	computability	unit	thm#1	selected	computability	-	0	0	yes	573	ce-closed-cup-cap	-	1	thm#1	17	20	94	573	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/ce-sets.tex	computability	section	section	selected	computability	-	0	0	yes	259	Computably Enumerable Sets	defn	-	section	1	54	54	259	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/ce-sets.tex	computability	unit	defn#1	selected	computability	-	0	0	yes	259	Computably Enumerable Sets	-	1	defn#1	12	15	54	259	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/coding-computations.tex	computability	section	section	selected	computability	-	0	0	yes	320	Coding Computations	-	-	section	1	47	47	320	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/complement-ce.tex	computability	section	section	selected	computability	-	0	0	yes	379	Computably Enumerable Sets not Closed under Complement	thm#thm:ce-comp; cor#cor:comp-k	-	section	1	63	63	379	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/complement-ce.tex	computability	unit	thm#thm:ce-comp	selected	computability	-	0	0	yes	379	Computably Enumerable Sets not Closed under Complement	; label=thm:ce-comp	thm:ce-comp	thm#thm:ce-comp	51	54	63	379	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/complement-ce.tex	computability	unit	cor#cor:comp-k	selected	computability	-	0	0	yes	379	Computably Enumerable Sets not Closed under Complement	; label=cor:comp-k	cor:comp-k	cor#cor:comp-k	51	54	63	379	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/complete-ce-sets.tex	computability	section	section	selected	computability	-	0	0	yes	302	Complete Computably Enumerable Sets	defn; thm; prob	-	section	1	62	62	302	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
computability/computability-theory/complete-ce-sets.tex	computability	unit	defn#1	selected	computability	-	0	0	yes	302	Complete Computably Enumerable Sets	-	1	defn#1	47	49	62	302	missing	none	-	-	No active declaration covers this recursive-function or computability-theory result.
